acct_id,FICO,region
1,768,New York
2,850,Dallas
3,677,Los Angeles
4,843,Chicago
5,796,Philadelphia
6,669,New York
7,805,San Antonio
8,850,San Antonio
9,838,Houston
10,850,Philadelphia
11,785,Philadelphia
12,794,Charlotte
13,832,New York
14,777,Houston
15,809,Chicago
16,793,San Antonio
17,746,Charlotte
18,786,Houston
19,781,Dallas
20,812,New York
21,811,Chicago
22,849,Philadelphia
23,820,Phoenix
24,778,San Diego
25,848,Phoenix
26,821,Phoenix
27,534,Los Angeles
28,843,Houston
29,832,Houston
30,844,Philadelphia
31,788,New York
32,696,Chicago
33,829,Dallas
34,740,Los Angeles
35,786,Charlotte
36,850,Chicago
37,850,Charlotte
38,802,Chicago
39,850,Charlotte
40,782,Philadelphia
41,784,San Antonio
42,844,San Diego
43,784,San Antonio
44,789,Los Angeles
45,816,Charlotte
46,783,Dallas
47,788,Phoenix
48,784,San Diego
49,806,Houston
50,828,Houston
51,729,San Diego
52,850,Charlotte
53,850,New York
54,751,Philadelphia
55,788,Charlotte
56,764,Los Angeles
57,786,Houston
58,729,New York
59,785,New York
60,808,Charlotte
61,792,Los Angeles
62,850,Los Angeles
63,816,Chicago
64,786,Houston
65,785,Philadelphia
66,831,San Diego
67,850,New York
68,824,San Antonio
69,789,Los Angeles
70,727,San Diego
71,836,Houston
72,775,Dallas
73,765,Chicago
74,735,Phoenix
75,767,Dallas
76,735,Los Angeles
77,839,San Antonio
78,806,Chicago
79,850,Philadelphia
80,833,Philadelphia
81,850,Los Angeles
82,844,Chicago
83,850,New York
84,849,Charlotte
85,785,New York
86,807,Dallas
87,769,New York
88,715,San Diego
89,745,Chicago
90,777,Houston
91,746,Charlotte
92,784,San Antonio
93,831,Houston
94,803,Houston
95,831,Los Angeles
96,850,Charlotte
97,850,San Diego
98,794,Houston
99,799,New York
100,847,Chicago
101,672,Phoenix
102,823,Charlotte
103,776,San Diego
104,785,New York
105,796,Charlotte
106,850,Houston
107,788,Phoenix
108,797,San Diego
109,843,Charlotte
110,735,Phoenix
111,724,Chicago
112,776,Dallas
113,845,Philadelphia
114,783,Dallas
115,823,San Diego
116,841,Houston
117,831,Charlotte
118,693,San Diego
119,841,Philadelphia
120,785,Philadelphia
121,850,New York
122,841,San Antonio
123,717,Philadelphia
124,783,Dallas
125,820,Charlotte
126,754,New York
127,779,San Antonio
128,850,Dallas
129,769,Dallas
130,565,Philadelphia
131,784,San Diego
132,850,Charlotte
133,830,Philadelphia
134,785,Chicago
135,745,Los Angeles
136,785,Philadelphia
137,784,San Antonio
138,743,San Diego
139,825,Philadelphia
140,752,Phoenix
141,754,Los Angeles
142,770,New York
143,824,Dallas
144,784,San Diego
145,785,New York
146,784,San Antonio
147,812,New York
148,823,Charlotte
149,786,Houston
150,821,Los Angeles
151,850,Los Angeles
152,800,San Diego
153,727,Chicago
154,772,San Diego
155,777,San Antonio
156,792,Los Angeles
157,821,Philadelphia
158,807,Philadelphia
159,809,Dallas
160,759,San Diego
161,670,Los Angeles
162,785,Charlotte
163,826,New York
164,823,Philadelphia
165,570,Houston
166,836,Dallas
167,783,Dallas
168,790,Dallas
169,817,Houston
170,848,Charlotte
171,711,Los Angeles
172,821,Philadelphia
173,829,Philadelphia
174,678,Dallas
175,820,Charlotte
176,836,New York
177,850,Los Angeles
178,850,Philadelphia
179,811,San Diego
180,850,Los Angeles
181,836,Phoenix
182,850,Charlotte
183,850,Dallas
184,785,New York
185,725,Chicago
186,789,Los Angeles
187,783,Dallas
188,770,Charlotte
189,745,Phoenix
190,828,New York
191,752,Chicago
192,850,New York
193,842,Houston
194,850,Houston
195,785,New York
196,785,Philadelphia
197,826,Chicago
198,827,Charlotte
199,832,New York
200,811,Philadelphia
201,710,Philadelphia
202,800,Phoenix
203,808,Philadelphia
204,727,San Antonio
205,819,Philadelphia
206,850,San Antonio
207,700,San Diego
208,822,Dallas
209,850,Phoenix
210,796,Los Angeles
211,623,San Antonio
212,769,Philadelphia
213,838,Dallas
214,785,New York
215,832,San Antonio
216,788,Phoenix
217,771,San Diego
218,705,Dallas
219,627,San Antonio
220,835,San Antonio
221,836,Los Angeles
222,850,New York
223,841,Houston
224,824,Houston
225,845,Charlotte
226,789,Los Angeles
227,742,Houston
228,784,San Diego
229,828,Dallas
230,850,Los Angeles
231,839,Chicago
232,655,Los Angeles
233,788,Phoenix
234,811,Los Angeles
235,784,San Antonio
236,834,Los Angeles
237,850,Charlotte
238,805,New York
239,762,Charlotte
240,784,San Antonio
241,749,Philadelphia
242,820,Chicago
243,850,San Antonio
244,823,Charlotte
245,753,Los Angeles
246,785,New York
247,712,Houston
248,850,Dallas
249,785,Philadelphia
250,845,San Diego
251,838,San Antonio
252,798,San Diego
253,782,San Diego
254,845,Houston
255,750,Houston
256,786,Houston
257,785,Chicago
258,751,New York
259,837,Dallas
260,834,Los Angeles
261,784,Los Angeles
262,784,San Diego
263,832,Dallas
264,837,San Antonio
265,850,San Antonio
266,850,Philadelphia
267,850,Chicago
268,737,San Diego
269,814,Dallas
270,821,Phoenix
271,796,Dallas
272,850,San Diego
273,796,Los Angeles
274,802,San Diego
275,850,San Antonio
276,754,Houston
277,845,Houston
278,829,San Antonio
279,821,San Diego
280,848,San Diego
281,748,Los Angeles
282,739,Charlotte
283,805,Chicago
284,836,Philadelphia
285,850,Charlotte
286,850,San Antonio
287,799,Dallas
288,785,Charlotte
289,686,Charlotte
290,802,New York
291,633,San Diego
292,745,Phoenix
293,671,Charlotte
294,831,Dallas
295,785,Charlotte
296,784,San Diego
297,828,Philadelphia
298,850,Phoenix
299,684,Chicago
300,778,Los Angeles
301,806,Charlotte
302,850,Houston
303,552,Phoenix
304,842,Phoenix
305,847,Dallas
306,824,Charlotte
307,816,New York
308,762,San Antonio
309,785,Philadelphia
310,785,New York
311,821,San Antonio
312,786,Houston
313,829,Dallas
314,838,Phoenix
315,775,Philadelphia
316,850,Houston
317,777,Phoenix
318,786,Philadelphia
319,783,San Antonio
320,785,New York
321,778,San Antonio
322,756,Houston
323,784,San Antonio
324,831,Chicago
325,850,Philadelphia
326,819,Charlotte
327,850,Los Angeles
328,785,Chicago
329,834,Los Angeles
330,737,Houston
331,785,New York
332,834,San Diego
333,785,Chicago
334,705,Los Angeles
335,734,San Diego
336,705,New York
337,836,San Antonio
338,769,Los Angeles
339,834,San Antonio
340,838,Chicago
341,850,Phoenix
342,703,New York
343,678,Phoenix
344,768,San Diego
345,633,Chicago
346,850,San Antonio
347,775,New York
348,719,Dallas
349,720,San Diego
350,789,Los Angeles
351,687,Charlotte
352,823,Dallas
353,801,Chicago
354,797,Dallas
355,841,Charlotte
356,850,Chicago
357,697,Charlotte
358,799,Charlotte
359,850,Philadelphia
360,553,San Diego
361,742,Chicago
362,717,Los Angeles
363,833,San Antonio
364,817,New York
365,850,Houston
366,721,Los Angeles
367,831,Phoenix
368,728,Dallas
369,784,San Antonio
370,789,Los Angeles
371,722,Houston
372,818,San Antonio
373,808,Houston
374,825,New York
375,785,Charlotte
376,817,Los Angeles
377,825,Phoenix
378,845,Houston
379,822,Philadelphia
380,716,Chicago
381,780,New York
382,695,Phoenix
383,842,Houston
384,786,Houston
385,833,Phoenix
386,850,Charlotte
387,845,Chicago
388,786,Houston
389,850,Phoenix
390,779,Philadelphia
391,780,San Antonio
392,850,Los Angeles
393,784,San Diego
394,785,New York
395,671,Charlotte
396,708,San Antonio
397,822,Philadelphia
398,726,Los Angeles
399,850,Houston
400,784,San Diego
401,796,Houston
402,709,New York
403,850,Philadelphia
404,734,Chicago
405,585,Philadelphia
406,848,Dallas
407,727,Los Angeles
408,831,Houston
409,850,Philadelphia
410,795,Phoenix
411,850,Dallas
412,850,Los Angeles
413,762,Charlotte
414,850,Phoenix
415,850,Philadelphia
416,788,Phoenix
417,715,Houston
418,797,San Antonio
419,802,Chicago
420,819,Philadelphia
421,804,San Diego
422,769,San Antonio
